fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig,yoy_growth,boom_growth_2020_2022,cooling_delta_2024_vs_2022,yoy_volatility,cluster,cluster_name
12031,Duval County,2022,297749.5556687812,Florida,Duval County,8753,1021040,8.6494317048,0.2382293598638343,0.4446927876267321,-0.2354632612617115,0.1154115197298353,2,Balanced growth markets
12031,Duval County,2023,302466.9304518756,Florida,Duval County,4500,1038833,4.3692014022,0.015843431814696,0.4446927876267321,-0.2354632612617115,0.1154115197298353,2,Balanced growth markets
12031,Duval County,2024,303303.5838053869,Florida,Duval County,1137,1055159,1.0859640342,0.0027660986021227,0.4446927876267321,-0.2354632612617115,0.1154115197298353,2,Balanced growth markets
12033,Escambia County,2020,190656.74544708955,Florida,Escambia County,736,322612,,,0.3852900097666929,-0.1659393772026371,0.0872604285532416,0,Stable markets
12033,Escambia County,2021,223943.14372379685,Florida,Escambia County,1300,323468,4.0242694403,0.1745880965221071,0.3852900097666929,-0.1659393772026371,0.0872604285532416,0,Stable markets
12033,Escambia County,2022,264114.8847624846,Florida,Escambia County,575,324227,1.7755270613,0.179383661275355,0.3852900097666929,-0.1659393772026371,0.0872604285532416,0,Stable markets
12033,Escambia County,2023,274894.3484975334,Florida,Escambia County,2612,328034,8.0090638563,0.0408135412161365,0.3852900097666929,-0.1659393772026371,0.0872604285532416,0,Stable markets
12033,Escambia County,2024,278590.10620871896,Florida,Escambia County,1822,331275,5.5269987214,0.0134442840727178,0.3852900097666929,-0.1659393772026371,0.0872604285532416,0,Stable markets
12035,Flagler County,2020,253855.63191921636,Florida,Flagler County,1052,116032,,,0.5050516401546705,-0.2780796368564555,0.1432345021786897,1,Migration boom markets
12035,Flagler County,2021,305376.8611300716,Florida,Flagler County,6184,120996,52.179489343,0.2029548402032326,0.5050516401546705,-0.2780796368564555,0.1432345021786897,1,Migration boom markets
12035,Flagler County,2022,382065.8351825169,Florida,Flagler County,6261,126974,50.498044118,0.2511289616660923,0.5050516401546705,-0.2780796368564555,0.1432345021786897,1,Migration boom markets
12035,Flagler County,2023,378302.6776989933,Florida,Flagler County,5111,131892,39.487611351,-0.0098495001044149,0.5050516401546705,-0.2780796368564555,0.1432345021786897,1,Migration boom markets
12035,Flagler County,2024,368107.16510868305,Florida,Flagler County,5077,136744,37.798359118,-0.0269506751903632,0.5050516401546705,-0.2780796368564555,0.1432345021786897,1,Migration boom markets
12037,Franklin County,2020,299800.9455694294,Florida,Franklin County,38,12474,,,0.4374190349516473,-0.1537934628118205,0.1076552349957914,2,Balanced growth markets
12037,Franklin County,2021,360242.57264584396,Florida,Franklin County,-208,12194,-16.8639533,0.2016058587194056,0.4374190349516473,-0.1537934628118205,0.1076552349957914,2,Balanced growth markets
12037,Franklin County,2022,430939.5858580005,Florida,Franklin County,383,12491,31.03099048,0.196248357580044,0.4374190349516473,-0.1537934628118205,0.1076552349957914,2,Balanced growth markets
12037,Franklin County,2023,426630.78848552174,Florida,Franklin County,188,12628,14.968748756,-0.0099986112064871,0.4374190349516473,-0.1537934628118205,0.1076552349957914,2,Balanced growth markets
12037,Franklin County,2024,444743.3537155588,Florida,Franklin County,392,12979,30.616628266,0.0424548947682235,0.4374190349516473,-0.1537934628118205,0.1076552349957914,2,Balanced growth markets
12039,Gadsden County,2020,128090.22922935068,Florida,Gadsden County,-313,43408,,,0.3497665247409669,-0.1180372047617392,0.0540357217003472,0,Stable markets
12039,Gadsden County,2021,146681.44292484238,Florida,Gadsden County,142,43502,3.2677482453,0.1451415444202493,0.3497665247409669,-0.1180372047617392,0.0540357217003472,0,Stable markets
12039,Gadsden County,2022,172891.90356017448,Florida,Gadsden County,27,43389,0.6214682763,0.178689683662043,0.3497665247409669,-0.1180372047617392,0.0540357217003472,0,Stable markets
12039,Gadsden County,2023,187685.7753985004,Florida,Gadsden County,597,44100,13.647429963,0.0855671754066664,0.3497665247409669,-0.1180372047617392,0.0540357217003472,0,Stable markets
12039,Gadsden County,2024,199069.3829307451,Florida,Gadsden County,-88,44151,-1.994311679,0.0606524789003037,0.3497665247409669,-0.1180372047617392,0.0540357217003472,0,Stable markets
12041,Gilchrist County,2020,176041.44617972244,Florida,Gilchrist County,27,17885,,,0.4440962853742032,-0.1319692832747516,0.0813368548616895,0,Stable markets
12041,Gilchrist County,2021,213700.79959736575,Florida,Gilchrist County,503,18319,27.786984864,0.2139232222575389,0.4440962853742032,-0.1319692832747516,0.0813368548616895,0,Stable markets
12041,Gilchrist County,2022,254220.79850003988,Florida,Gilchrist County,686,19027,36.737535479,0.1896108904553373,0.4440962853742032,-0.1319692832747516,0.0813368548616895,0,Stable markets
